name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
Mia X,New Orleans,"-90.065521, 29.976238",rapper,"Mia Young (born January 9, 1970), better known by her stage name Mia X, is an American rapper, singer-songwriter and actress. She was the first female emcee to get a contract on No Limit Records. ",1/9/70,null
TRU,New Orleans,"-90.096329, 29.952886",group,"TRU (The Real Untouchables) was an American hip hop group from New Orleans, active from 1989 to 2005. The group originally consisted of rappers on the New Orleans label, No Limit Records. The members are brothers Master P, C-Murder, and Silkk the Shocker.",null,null
Fiend,New Orleans,"-90.065164, 29.983738",rapper,"Richard ""Ricky"" Jones (born May 13, 1976), better known by his stage names Fiend or International Jones, is an American rapper and producer best known for his time spent on No Limit Records.",5/13/76,null
Mike Will Made It,Marietta,"-84.521117, 33.939509",producer / dj,"Michael Len Williams II (born March 23, 1989), known professionally as Mike Will Made It or simply Mike Will, is an American record producer. He is best known for producing trap beats for several Southern hip hop artists.",6/23/89,null
Pato Pooh,Stockolm,"18.083121, 59.332562",rapper,Pato Pooh is a swedish rapper from Stockolm. ,null,null
Charisma.com,Kanagawa,"139.617799, 35.502375",group,Charisma.com (カリスマドットコム?) is a Japanese electro/rap group that formed in 2011. Featuring MC Itsuka and DJ Gonchi.,null,null
Da Guedes,Porto Alegre,"-51.219484, -30.042245",group,"Da Guedes is a Brazilian rap group, formed in the city of Porto Alegre in 1993. The group is formed by Baze, Nitro Di and DJ Deeley.",null,null
Noizy,London,"0.068954, 51.490012",rapper,"Rigels Bashkim Rajku (born September 27, 1986) known by his stage name Noizy or Zini Zin, is an Albanian singer, rapper and actor from Woolwich, London.",9/27/86,null
J.I.D.,East Atlanta,"-84.338887, 33.736491",rapper,J.I.D. is a american rapper from Atlanta. He is a member of the Spillage Village crew.,null,null
Z-Ro,Houston,"-95.336695, 29.683343",rapper,"Joseph Wayne McVey IV (born January 19, 1977), better known by his stage names Z-Ro and The Mo City Don, is an American rapper from South Park, Houston Texas. ",1/19/77,null
K-Rino,Houston,"-95.325668, 29.663437",rapper,"Eric Kaiser (born 9 September 1970), better known by his stage name K-Rino, is an American rapper and record producer from Houston, Texas. He is the founder of the South Park Coalition.",9/9/70,null
Yellow Claw,Amsterdam,"4.882136, 52.364643",group,"Yellow Claw is a DJ and record production duo from Amsterdam, Netherlands. The group consists of Jim Aasgier (Jim Taihuttu) and Nizzle (Nils Rondhuis).",null,null
The Opposites,Amsterdam,"4.901242, 52.374221",group,"The Opposites are a Dutch rap group, consisting of rappers Willem de Bruijn (Willy) and Twan van Steenhoven (Big2).",null,null
Sole,Portland,"-122.649736, 45.548719",rapper,"James Timothy ""Tim"" Holland Jr. (born September 25, 1977), better known by his stage name Sole, is an American underground hip hop artist from Portland, Maine. ",9/25/77,null
Busdriver,Los Angeles,"-118.309867, 33.997818",producer / dj,"Regan John Farquhar (born February 12, 1978), better known by his stage name Busdriver, is a rapper and producer from Los Angeles, California.",2/12/78,null
M.I.A.,Mitcham,"-0.182573, 51.405969",rapper,"Mathangi ""Maya"" Arulpragasam (born 18 July 1975), better known by her stage name M.I.A., is an English-Tamil rapper, singer-songwriter, record producer.",7/18/75,null
D double E,East London,"0.026393, 51.542832",rapper,"Double E (born Darren Dixon in London, England) also known as D Double, is a British MC who hails from Newham, East London. ",null,null
Newham Generals,London,"0.025349, 51.545613",group,"Newham Generals are an English grime duo from East London, currently consisting of MCs D Double E and Footsie.",null,null
Jawat!,Zwolle,"6.094215, 52.512067",rapper,Raoul Geerman know has Jawat! is a Netherland rapper from Zwolle.,null,null
Themselves,Oakland,"-122.212206, 37.794463",group,"Themselves is an hip hop duo based in Oakland, California. It consists of rapper Doseone and producer Jel. ",null,null
Aesop Rock,Long Island,"-73.340404, 40.879038",producer / dj,"Ian Matthias Bavitz (born June 5, 1976), better known by his stage name Aesop Rock, is an American hip hop recording artist and producer from Northport, Long Island.",6/5/76,null
A2h,Melun,"2.656085, 48.540599",rapper,"A2h is a french rapper, producer from Melun.",null,null
Joke,Montpellier,"3.874333, 43.607406",rapper,Gilles Ateyaba Koffi Soler better known as Joke (born 27 October 1989) is a French rapper from Montpellier.,10/27/89,null
Noir Fluo,Paris,"2.391187, 48.843551",group,"Noir Fluo is french rap band from Paris formed by Emotion Lafolie, Tony Lunettes, Riski & Waslo Dilleggi. ",null,null
Frank Ocean,New Orleans,"-90.107302, 30.011073",rapper,"Christopher Francis ""Frank"" Ocean (born Christopher Edwin Breaux, October 28, 1987), is an American singer, songwriter, and rapper from New Orleans, Louisiana.",10/28/87,null
Jorrdee,Lyon,"4.885971, 45.731094",producer / dj,"Jorrdee, born Jordan Bourgeois is a French rapper from Lyon. He's a original member of the rap crew 667. ",null,null
Butter Bullets,Besançon,"6.024283, 47.234558",group,"Butter Bullets is a French hip-hop group from Besançon, Franche-Comté. The group is composed by Sidisid & Dela1.",null,null
Metek,Paris,"2.408641, 48.850113",rapper,"Riski (previously Metek), born Manuel Goldman, is a french rapper, author from Paris.",null,null
Les X-Men,Paris,"2.383136, 48.866676",group,"Les X (previously les X-Men) is a frencg rap band, from Ménilmontant, a neighborhood in the XXe borough of Paris. The group is composed by Hill G (Ill) and Cassidy, and Hi-Fi at the begining. The groups was part of the Time Bomb crew.",null,null
Zaytoven,Atlanta,"-84.346758, 33.744399",producer / dj,"Xavier L. Dotson, professionally known as Zaytoven, is an American record producer and DJ from Atlanta, Georgia.",1/12/80,null
Metro Boomin,St Louis,"-90.468687, 38.689452",producer / dj,"Leland Tyler Wayne (born September 16, 1993), professionally known as Metro Boomin, is an American record producer and DJ from St. Louis, Missouri.",9/16/93,null
Dj Premier,New york,"-73.942790, 40.675853",producer / dj,"Christopher Edward Martin (born March 21, 1966), better known by his stage name DJ Premier, is an American Record Producer and DJ, and was half of the hip hop duo Gang Starr—alongside the emcee Guru.",3/21/66,null
Stormzy,London,"-0.107227, 51.399022",rapper,"Michael Omari (born 26 July 1993), better known by his stage name Stormzy, is an English grime and hip hop artist from Thornton Heath, London.",7/26/93,null
James Deano,Waterloo,"4.400191, 50.712897",rapper,"Olivier Nardin know has James Deano,(born 6 november 1979), is a Belgian rapper, comedian and humorist from Waterloo.",11/6/79,null
Hornet La Frappe,Épinay-sur-Seine,"2.293878, 48.958782",rapper,"Hornet La Frappe is French rapper from Épinay-sur-Seine, Seine-Saint-Denis. ",null,null
Di-Meh,Geneva,"6.116622, 46.204014",producer / dj,Di-Meh (Born 30 June 1995) is a  swiss rapper from Geneva. He is a member of the 13Sarkastick and SuperWakClique collectives.,6/30/95,null
Ghandi,Evere,"4.407127, 50.871221",rapper,"Trésor Georges Mundende Mbengani, know has Gandhi is a Belgian rapper from Germinal, Evere (Bruxelles). ",8/1/80,null
Miiiiz,Geneva,"6.132243, 46.213102",rapper,"Miiiiz is a rapper from Geneva, Switzerland. He is a member of the rap collective FNWS.",null,null
113,Vitry-sur-Seine,"2.403053, 48.789790",group,"13 is a French hip hop group with African and Caribbean roots originating in North and West Africa and the island of Guadeloupe, formed in the Parisian suburb of Vitry-sur-Seine.",null,null
Hocus Pocus,Nantes,"-1.541622, 47.227223",group,"Hocus Pocus is a Hip Hop / Jazz band from Nantes, France. Formed in 1995, their music is a mix of hip-hop, jazz, soul and funk. The band, however, reached significant commercial and critical success in 2006 with the 2005 LP 73 Touches re-release, the ""Hip Hop?"" single.",null,null
Sadek,Seine-Saint-Denis,"2.508656, 48.862005",rapper,Sadek Bourghuiba (born 25 May 1991) and known by the mononym Sadek is a French rapper from Neuilly-Plaisance. He also uses the pseudonym Johnny Niuuum or Sadek Niuum. He is signed to the French Hostile record label.,5/25/91,null
Yung Simmie,Miami,"-80.222280, 25.769576",rapper,"Yung Simmie (born December 19, 1993) is american rapper from Miami. He's a member of the hiphop crew Raider Klan collective. ",12/19/93,null
Kekra,Hauts-de-Seine,"2.265845, 48.902102",rapper,"Kekra is a french rapper from Courbevoie, Hauts-de-Seine.",null,null
Rihanna,Bridgetown,"-59.592148, 13.114441",singer,"Robyn Rihanna Fenty (born February 20, 1988) is a Barbadian singer, songwriter, and actress. Born in Saint Michael and raised in Bridgetown.",2/20/88,null
Swift Gad,Montreuil,"2.434101, 48.859502",rapper,"Swift Gad is a french rapper from Croix de Chavaux in Montreuil, Seine Saint Denis. ",null,null
Ichon,Paris,"2.426873, 48.852981",rapper,"Ichon is a French rapper from Montreuil, Seine Saint Denis. He is a member of the crew Bon Gamin.",null,null
Orishas,Havana,"-82.337521, 23.064862",group,"Orishas are a Cuban hip hop group from Havana, Cuba, founded in 1999.",null,null
Roots Manuva,London,"-0.116430, 51.465986",producer / dj,"Rodney Hylton Smith, better known by his stage name Roots Manuva (born 9 September 1972), is an English rapper and producer from Stockwell, London.",9/9/72,null
Lady Sovereign,London,"-0.269657, 51.563933",rapper,"Louise Amanda Harman (born 19 December 1985), better known by the stage name Lady Sovereign, is an English rapper. She is best known for the songs ""9 to 5"" and ""Love Me or Hate Me"".",12/19/85,null
Brulux,Paris,"2.338910, 48.884682",rapper,Hedi Chabar better know has Brulux is a french rapper from Paris. ,null,null
Rocca,Paris,"2.305956, 48.827211",rapper,"Rocca (full name Sébastian Rocca) is a French-Colombian Rapper and Producer born in April 1975. He gained recognition as a rapper during the 1990s as a part of the rap group, La Cliqua.",4/28/75,null
Die Antwoord,Cape Town,"18.594231, -33.863259",group,"Die Antwoord is a South African rap group formed in Cape Town in 2008. The group was formed by rappers Ninja and ¥O-LANDI VI$$ER, and producer God. Die Antwoord's image is based on a counterculture movement known as Zef in South Africa.",null,null
Romeo Elvis,Bruxelles,"4.343090, 50.770863",rapper,Romeo Elvis (born Roméo Johnny Elvis Kiki Van Laeken the 13/12/1992) is a Belgian rapper from Bruxelles. ,12/13/92,null
Scylla,Bruxelles,"4.381356, 50.875477",rapper,"Scylla is a Belgian rapper, member of the OPAK crew.",null,null
Isha,Bruxelles,"4.366379, 50.858963",rapper,Isha (Previously know has Psmaker) is a Belgian rap artist from Bruxelles. ,null,null
Movez'Lang,Boulogne Billancourt,"2.231283, 48.828274",group,"Mo'vez Lang is a French rap band from Boulogne, Hauts-de-Seine. The group was formed by LIM, Cens Nino and Boulox Force.",null,null
Caballero,Bruxelles,"4.356444, 50.849468",rapper,Caballero is a rapper from Bruxelles member of the group Les Corbeaux and from the Black Syndicat crew.,null,null
De La Soul,New York,"-73.412484, 40.670466",group,"De La Soul is an American hip hop trio formed in 1987 on Long Island, New York, formed by Posdnuos, Dave and Maseo.",null,null
Massive Töne,Stuttgart,"9.179257, 48.777536",group,"Massive Töne is one of the oldest German hip hop groups, founded 1991 in Stuttgart. Formed by Showi (Jean-Christoph Ritter), Ju (João dos Santos), Wasi (Wasi Ntuanoglu) and DJ 5ter Ton (""DJ Fifth Note"", Alexander Scheffel).",null,null
Skepta,Tottenham,"-0.074800, 51.605561",rapper,"Joseph Junior Adenuga (born 19 September 1982), better known by his stage name Skepta, is an British grime artist, songwriter and record producer from Tottenham, North London. He is a former member of the grime band ""Meridian Crew"".",9/19/82,null
Post Malone,Grapevine,"-97.088580, 32.933703",rapper,"Austin Richard Post (born July 4, 1995), better known by his stage name Post Malone, is an American rapper, singer, songwriter and record producer from Grapevine, Texas.",7/4/95,null
Travis Scott,Houston,"-95.543564, 29.582629",rapper,"Jacques Webster (born April 30, 1992), better known by his stage name Travis Scott (formerly stylized as Travi$ Scott), is an American hip hop recording artist and record producer from Houston, Texas.",6/30/92,null
O.T. Genasis,Long Beach,"-118.193809, 33.796106",rapper,"Odis Oliver Flores (born June 19, 1987), better known by the stage name O.T. Genasis, is an American hip hop recording artist from Long Beach, California.",6/19/87,null
OG Maco,Atlanta,"-84.471013, 33.618017",rapper,"Maco Mattix (born April 23, 1992), better known by his stage name OG Maco, is an American hip hop recording artist from Atlanta, Georgia.",4/23/92,null
Mac Tyer,Aubervilliers,"2.374911, 48.914508",rapper,"Socrate Petteng better known as Mac Tyer is a French rapper of Cameroonian descent, born in Aubervilliers, Seine-Saint-Denis. Alongside with Mac Kregor he is a member of the rap band Tandem. ",4/23/79,null
Triptik,Paris,"2.349048, 48.873174",group,Triptik is a french Hip Hop band formed by two rappers Dabaaz and Black' Boul (Greg Frite) and one dj Drixxxé.,null,null
Nemir,Perpignan,"2.905447, 42.698712",rapper,Némir is a French rappeur from Perpignan. ,null,null
Disiz La Peste,Évry,"2.432454, 48.618874",producer / dj,"Sérigne M'Baye Gueye (born 28 March 1978), better known by his stage name Disiz, (formerly Disiz la Peste and Disiz Peter Punk), is a French rapper and actor from Évry. \r\n\r\n",3/28/78,null
Dadoo,Toulouse,"1.435427, 43.593104",producer / dj,"Dadoo (born Daniel Camara in 1976) is a French rapper and also a member of the Toulouse rap group, KDD.",null,null
Arianna Puello,Girona,"2.789179, 41.971135",rapper,"Arianna Puello or Ari (born 16 January 1977) is a Spanish rapper of Dominican origin from Salt, Girona.",1/16/77,null
Sefyu,Aulnay-sous-Bois,"2.491753, 48.950124",rapper,"Youssef Soukouna (born 20 April 1981), better known by his stage name Sefyu is a French rapper of Senegalese descent from Aulnay-sous-Bois, Seine-Saint-Denis.",4/20/81,null
Akon,Jersey City,"-74.071806, 40.726127",rapper,"Aliaume Damala Badara Akon Thiam (born April 16, 1973), better known as Akon, is an American singer, rapper, songwriter, businessman, record producer and actor from Jersey City, New Jersey.",4/16/73,null
Yung Lean,Stockholm,"18.060332, 59.311338",rapper,"Jonatan Leandoer Håstad (born 18 July 1996), better known by his stage name Yung Lean, is a Swedish rapper from Stockholm.",7/18/96,null
Vald,Aulnay-sous-Bois,"2.493237, 48.934982",rapper,"Valentin Le Du, know has Vald (born 15 jully 1992) is a French rapper from Aulnay-sous-Bois, Seine-Saint-Denis.",7/15/92,null
Freeze Corleone,Paris,"2.344257, 48.812902",rapper,"Freeze Corleone is a Canadian rapper, founder member of the hiphop crew 667 based in Gentilly, Paris. ",null,null
Coyote Jo Bastard,Paris,"2.304811, 48.884824",rapper,Coyote Jo Bastard is a French rapper from the 17ème arrondissement of Paris.,3/10/17,3/10/17
Lomepal,Paris,"2.353092, 48.831507",rapper,Lomepal is a French rapper from the south of Paris. ,null,null
Nakk,Bobigny,"2.443653, 48.907971",rapper,"Nakk, real name Narcisse Kamga, born the 30 march 1976, is a french rapper from Bobigny, Seine-Saint-Denis.",3/30/76,null
2 Bal 2 Neg,Chelles,"2.592819, 48.879152",group,2 Bal 2 Neg is a french rap group from Chelles. The group is composed by the   twin brother Doc TMC et G-Kill.,null,null
Youssoupha,Satrouville,"2.163864, 48.936450",rapper,"Youssoupha Mabiki, better known by his nickname Youssoupha born in Kinshasa on 29 August 1979) is a French rapper of Congolese origin.",8/29/79,null
Daddy Lord C,Nemours,"2.706585, 48.268683",rapper,"Daddy Lord C, real name Clarck Ebara, born 7 january 1970, is a french rapper & boxer from Nemours, Seinte-et-Marne. He was one of the member of the rap band La Cliqua.",null,null
Assassin,Paris,"2.335072, 48.890533",group,Assassin is a French rap group formed in the 18th Arrondissement of Paris. The group was formed in 1985 by Rockin' Squat and Solo.,null,null
Les Sages Poètes de la Rue,Boulogne-Billancourt,"2.228994, 48.830859",group,"Les Sages Poètes de la Rue is a french rap group. He was composed of Dany Dan, Melopheelo and Zoxea.",null,null
Dany Dan,Boulogne-Billancourt,"2.231573, 48.833172",rapper,"Daniel Lakoué better know has Dany Dan, is a french rapper, (born 20 November 1973). He is one of the member of the group les Sages Poètes de la Rue. ",11/20/73,null
Niska,Évry,"2.437588, 48.636821",rapper,"Stan Dinga Pinto, better known by the artistic name Niska, is a french rapper from Évry, Essonne.",4/6/90,null
Take A Mic,Orly,"2.398081, 48.743699",rapper,Take A Mic is a french rapper from Orly. ,null,null
Orelsan,Alençon,"0.083678, 48.431979",producer / dj,"Aurélien Cotentin (born 1 August 1982 in Alençon, Orne), better known by his stage name Orelsan, is a French rapper, songwriter, record producer, actor and film director.",8/1/82,null
Grems,Paris,"2.346578, 48.855452",producer / dj,"Michaël Eveno, better known by his stage name Grems (born 25 October 1978), is a French rapper and producer of French hip hop and designer.",10/25/78,null
Diam's,Orsay,"2.181267, 48.680257",rapper,Diam's (born Mélanie Georgiades on 25 July 1980) is a French-language rap artist of French and Greek Cypriot origin from Essone. She gained notoriety in France in the 2000. ,7/25/80,null
Pit Baccardi,Paris,"2.382906, 48.866268",rapper,"Guillaume N'Goumou better know has Pit Baccardi, born 9 june 1978 in Cameroun, is a french rapper & producer from Paris. Pit Baccardi is the half brother of the rapper Dosseh.",6/9/78,null
Shystie,Hackney,"-0.060929, 51.562554",rapper,"Chanelle Scott Calica (born 25 December 1983), better known by her stage name Shystie, is an English rapper-songwriter and actress.",12/25/83,null
Nesbeal,Villiers-sur-Marne,"2.535869, 48.835658",rapper,"Nabil Sahli (born 16 August 1978), better known by his stage name Nessbeal, is a French rapper from Villiers-sur-Marne, Val-de-Marne.",8/16/78,null
Mala,Boulogne-Billancourt,"2.234341, 48.830121",rapper,"Mala is a French rapper from Pont de Sèvres, Boulogne-Billandcourt. He was a member of the rap group Malekal Morte.",null,null
Sofiane,Blanc Ménil,"2.472660, 48.924417",rapper,"Sofiane Zermani (born 21 July 1986) better known by the mononym Sofiane is a French rapper of Algerian origin. He is also known by the name Fianso. He come from Le Blanc-Mesni, Seine-Saint-Denis.",7/21/86,null
Kalash Criminel,Sevran,"2.524996, 48.936965",rapper,"Kalash Criminel is a French rapper of Congolese descent from Sevran, Seine-Saint-Denis.",null,null
Nèg' Marrons,Garges-Sarcelles,"2.401814, 48.969739",group,"Nèg' Marrons is french hip-hop & reggae group from Garges-Sarcelles, Val-d'Oise. They was part of the Secteur A crew.",null,null
Sinik,Les Ulis,"2.168392, 48.684966",rapper,"Thomas Idir a.k.a. Sinik (born June 26, 1980) is a French rap artist. His father is Algerian while his mother is French. ",6/26/80,null
Alibi Montana,La Courneuve,"2.380000, 48.926000",rapper,"Nikarson Saint-Germain better known by his stage name Alibi Montana (born in Villetaneuse, Seine-Saint-Denis, France in 1978) is a French rapper of Haitian origin.",null,null
Kool Keith,New York,"-73.882479, 40.844672",rapper,"Keith Thornton (born October 7, 1966), better known by his stage name Kool Keith, is an American rapper from The Bronx, New York known for his surreal, abstract and often profane or incomprehensible lyrics.",10/7/66,null
Hamza,Bruxelles,"4.342225, 50.877058",producer / dj,"Hamza is a rapper, producer from Bruxelles, Belgium. He had gained notoriety in 2015 with is free mixtape H24.",null,null
Ab-Soul,Los Angeles,"-118.263819, 33.858318",rapper,"Herbert Anthony Stevens IV (born February 23, 1987), better known by his stage name Ab-Soul, is an American hip hop recording artist from Carson, California.  He is a member of the record label Top Dawg Entertainment (TDE).",2/23/87,null
Beanie Sigel,Philadelphia,"-75.175610, 39.927645",rapper,"Dwight E. Grant (born March 6, 1974), better known by his stage name Beanie Sigel, is an American rapper and actor from Philadelphia, Pennsylvania. As a former artist of Roc-A-Fella Records he had formed a close association with rappers Jay-Z.",3/6/74,null
Dom Kennedy,Los Angeles,"-118.323207, 34.011436",rapper,"Dominic Ross Hunn (born August 22, 1984), better known by his stage name Dom Kennedy, is an American rapper from Leimert Park, Los Angeles, California.",8/22/84,null
Problem,Los Angeles,"-118.225416, 33.876146",rapper,"Jason Martin (born May 8, 1985), better known by his stage name Problem, is an American rapper.  He is best known for his single ""Like Whaaat"" and for featuring on E-40's ""Function"".",5/8/85,null
Iamsu!,Pinole,"-122.286000, 37.991000",producer / dj,"Sudan Ameer Williams (born November 16, 1989) better known by his stage name Iamsu!, is an American rapper, singer, and producer from Pinole, California.",11/16/89,null
Lord Infamous,Memphis,"-90.039561, 35.092953",rapper,"Ricky T Dunigan (November 17, 1973 – December 20, 2013), better known by his stage name Lord Infamous, was an American rapper from Memphis, Tennessee. He was best known as co-founder of the Memphis rap group Three 6 Mafia.",11/17/73,12/20/13
Rae Sremmurd,Tupelo,"-88.731701, 34.251084",group,"Rae Sremmurd is an American hip hop duo originating from Tupelo, Mississippi formed by Swae Lee and Slim Jxmmi. The group is best know for their hit Black Beatles.",null,null
Lil Yachty,Atlanta,"-84.641416, 33.815649",rapper,"Miles Parks McCollum (born August 23, 1997), better known by his stage name Lil Yachty, is an American hip hop recording artist from Atlanta.",8/23/97,null
Danger Mouse,Athens,"-83.380205, 33.955017",producer / dj,"Brian Joseph Burton (born July 29, 1977), better known by his stage name Danger Mouse, is an American musician, songwriter and record producer.",7/29/77,null
The Streets,Birmingham,"-1.957965, 52.396642",producer / dj,"The Streets were an English hip hop and UK garage project from Birmingham, England, led by the vocalist and multi-instrumentalist Mike Skinner.",null,null
Richie Rich,Oakland,"-122.233585, 37.800256",rapper,"Richard Serrell, better known by his stage name Richie Rich, is a rapper from Oakland, California. He currently runs his own record label, Ten-Six Records.",6/25/68,null
Jimmy Spicer,New York,"-74.000200, 40.682408",rapper,"James Bromley Spicer, better known by his stage name Jimmy Spicer, is an American hip hop recording artist who released a number of old school rap singles during the late 1970s and early 1980s.",null,null
Ma$e,New York,"-73.940188, 40.817315",rapper,"Mason Durell Betha (born August 27, 1975), better known by stage name Mase (formerly often stylized Ma$e or MA$E), is an American hip hop recording artist from Harlem, New York.",8/27/75,null
Cam'ron,New York,"-73.944868, 40.826607",rapper,"Cameron Ezike Giles (born February 4, 1976), better known by his stage name Cam'ron, is an American rapper and actor  from Harlem, New York. He is the de facto leader of East Coast hip hop groups The Diplomats (also known as Dipset)",2/4/76,null
Stomy Bugsy,Sarcelle,"2.372283, 48.974476",rapper,"Stomy Bugsy born Gilles Duarte (21 May 1972) is a French rapper and actor from Sarcelles, France. He is a member of the group Minister AMER with the rapper Passi.",5/21/72,null
Passi,Sarcelle,"2.377660, 48.978217",rapper,"Passi Balende better know has Passi is a French hip hop artist who became famous in the mid-1990s with the group Ministère AMER, which included himself and Stomy Bugsy. He is most widely known, however, as a solo artist.",12/21/72,null
Spoonie Gee,New York,"-73.950990, 40.810218",rapper,"Gabriel Jackson (born 1963), better known by his stage name Spoonie Gee is an American rap artists from Harlem, New York.",null,null
Yelawolf,Nashville,"-86.786701, 36.143001",rapper,"Michael Wayne Atha (born December 30, 1979), better known as Yelawolf, is an American hip hop recording artist.",12/30/79,null
Driver,Sarcelle,"2.386947, 48.981097",rapper,"Driver is a French rapper, actor from Sarcelles (Val-d'Oise) born in 1976. Better know for is song Aie Aie Aie on the album ""Le grand schelem"".",null,null
The Jacka,Pittsburg,"-121.897252, 38.015785",rapper,"Dominick Newton (August 12, 1977 – February 2, 2015), better known by his stage name The Jacka, was an American rapper from Pittsburg, California. The Jacka got his start with his group, Mob Figaz.",8/12/77,2/2/15
Mozzy,Sacramento,"-121.457188, 38.548291",rapper,"Timothy ""Mozzy"" Patterson american rapper from Oak Park, Sacramento. Mozzy started rapping in 2004 under the name Lil' Tim, before changing his stage name to Mozzy in 2012.",6/24/87,null
Chamillionaire,Houston,"-95.570445, 29.887860",rapper,"Hakeem Seriki (born November 28, 1979), better known by his stage name Chamillionaire, is an American musician, rapper from Houston, Texas.",11/28/79,null
Robb Bank$,Coral Springs,"-80.214480, 26.284915",rapper,"Richard Burrell (born September 24, 1994) better known by his stage name Robb Banks (formerly stylized Robb Bank$), is an American hip hop recording artist from Coral Springs, Florida.",9/24/94,null
Casey,Blanc-Mesnil,"2.466131, 48.942213",rapper,"Cathy Palenne know as Casey, is a French rapper from Blanc-Mesnil, Seine-Saint-Denis.",null,null
NoClue,Seattle,"-122.384740, 47.563401",rapper,"Ricky Raphel Brown (born January 28, 1985), known by the stage name NoClue, is an American rapper from Seattle. He is best known for obtaining the title of the world's official “Fastest Rap MC” by Guinness World Records.",1/28/85,null
Sir Mix-a-Lot,Seatle,"-122.316756, 47.627400",rapper,"Anthony Ray (born August 12, 1963), better known by his stage name Sir Mix-a-Lot, is an American rapper and producer based in Seattle, Washington.",8/12/63,null
Nacho Picasso,Seatle,"-122.327673, 47.564748",rapper,"Jesse Robinson, better known by his stage name Nacho Picasso, is an American rapper from Seattle, Washington. He is a member of Moor Gang rap collective.",10/30/83,null
La caution,Noisy-le-Sec,"2.458637, 48.895434",group,La Caution is a French hip hop duo consisting of members Hi-Tekk and Nikkfurie of Moroccan descent.,null,null
Svinkels,Paris,"2.360646, 48.853630",group,"Svinkels is a french Hip Hop band composed of three MCs : Gérard Baste, Nikus Pokus, et Mr. Xavier (alias XanaX), active between 1994 and 2009.",null,null
TTC,Paris,"2.289997, 48.847221",group,"TTC is a French hip hop group from Paris. It consists of Tido Berman, Teki Latex, Cuizinier, Orgasmic, Para One, and Tacteel.",null,null
Cormega,Brooklyn,"-73.955178, 40.664684",rapper,"Cory McKay (born April 26, 1970), better known by his stage name Cormega, is an American rapper and songwriter from Brooklyn, New York.",4/26/70,null
Fuzati,Versailles,"2.144603, 48.812135",producer / dj,Fuzati (born in 1978) is a French rapper originating from Versailles. He was co-founder in 2000 of Klub des Loosers.,null,null
Mafia K1 Fry,Paris,"2.410339, 48.763903",group,"Mafia K-1 Fry sometimes stylized as Mafia K'1 Fry is a French collective of hip hop rappers from the Val-de-Marne and the Orly-Choisy-Vitry-Joinville axis, south of Paris.",null,null
ATK,Paris,"2.408019, 48.847175",group,"ATK is a French rap band from Paris. Created in 1995 and mainly know for their album Heptagone (1998). The group is composed of Axis, Cyanure, Freko Ding', Test and Fredy K.",null,null
Tandem,Aubervilliers,"2.387739, 48.915267",group,"Tandem was a French rap band from Aubervilliers, Seine-Saint-Denis formed by Mac Tyer, de Mac Kregor et & Mac Thyff.",null,null
Suprême NTM,Saint-Denis,"2.377206, 48.944615",group,Suprême NTM (or simply NTM) is a French hip hop group formed in 1989 in the Seine-Saint-Denis département. The group comprises rappers Joey Starr (born Didier Morville) and Kool Shen (born Bruno Lopes).,null,null
Poison Clan,Miami,"-80.232722, 25.759119",group,"Poison Clan was a Southern hip-hop group signed to Luke Records from 1990 to 1995, the group had various line-ups and members were JT Money, Thomas Brooks of Marianna Fl, Debonaire, Drugz, Uzi, Madball and Big Ram. Thomas Brooks played an important role in the development of the Dirty South movement that developed late in the decade.",null,null
Alpha 5.20,Épinay-sur-Seine,"2.295619, 48.955525",rapper,"Alpha 5.20 is an French rapper, from Épinay-sur-Seine, Seine-Saint-Denis. He is the leader of the Ghetto Fabulous Gang.",null,null
Trina,Miami,"-80.224095, 25.831001",rapper,"Katrina Laverne Taylor (born December 3, 1978), better known by her stage name Trina, is an American rapper. Trina first gained notoriety in 1998 with her appearance on Trick Daddy's second studio album www.thug.com on the single ""Nann Nigga"".",12/3/78,null
Ace Hood,Deerfield Beach,"-80.117266, 26.295358",rapper,"Antoine McColister (born May 11, 1988), better known by his stage name Ace Hood, is an American rapper. He was born in Port St. Lucie, Florida and raised in Deerfield Beach, Florida. He is signed to DJ Khaled's label We the Best Music Group and was formerly signed to Def Jam Recordings and Cash Money Records.",5/11/88,null
Dj Khaled,Miami,"-80.274584, 25.932657",producer / dj,"Khaled Mohamed Khaled (born November 26, 1975), known professionally as DJ Khaled, is an American record producer, radio personality, DJ, record label executive, and author.",11/26/75,null
Luke,Miami,"-80.139490, 25.812905",producer / dj,"Luther Roderick Campbell (born December 22, 1959), also known as Luke Skyywalker and simply Luke, rapper, promoter, and actor. He is best known as a one-time member and leader of rap group 2 Live Crew, and star of his own short-lived show on VH1, Luke's Parental Advisory.",12/22/59,null
Raider Klan,Miami,"-80.270063, 25.947376",group,"Raider Klan (RVIDXR KLVN) was formed and led by Spaceghostpurrp, based out of Carol City, Florida. Early 2008, Raider Klan Records was officially formed with members Dough Dough Da Don, Kadafi, Muney Junior and Jitt. Jitt suffered a tragic death in 2010, making Spaceghostpurrp become more active.",null,null
GLC,Chicago,"-87.625539, 41.853561",rapper,"Leonard D. Harris (born December 1, 1974), better known by his stage name GLC, is an American rapper from Chicago, Illinois.",12/1/74,null
